"State","Bill Number","Name","Summary","Bill Progress","Last Action","Action Date"
"MD","SB104","Unemployment Insurance Modernization Act of 2024","Repealing and establishing the methodology used to calculate the weekly benefit amount; altering the taxable wage base used to determine employer contributions to the Unemployment Insurance Trust Fund, the dependent allowance, and the amount of earned wages subtracted from a weekly benefit amount; requiring the Secretary of Labor to set the taxable wage base and the maximum weekly benefit amount in a certain manner beginning in calendar year 2027 and each calendar year thereafter; etc.","In Committee","Senate Finance Hearing (13:00:00 3/5/2024 )","03/05/2024"
"MD","SB105","Burial Sites of Enslaved Persons - Protection and Access (Emancipation for the Maryland Deceased Enslaved Act)","AN ACT concerning Burial Sites of Enslaved Persons - Protection and Access (Emancipation for the Maryland Deceased Enslaved Act) FOR the purpose of requiring an owner of land that encompasses any part of a former plantation to identify and allow visitation to certain burial sites of enslaved persons under certain circumstances; prohibiting construction of any structure on certain burial sites; establishing the Office of Burial Sites of the Maryland Enslaved; and generally relating to deceased enslaved persons. BY repealing and reenacting, with amendments, Article - Real Property Section 14-121 Annotated Code of Maryland (2023 Replacement Volume) BY adding to Article - State Government Section 9-3801 through 9-3804 to be under the new subtitle “Subtitle 38. Office of Burial Sites of the Maryland Enslaved” Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","SB106","State Board of Social Work Examiners - Board Membership and Certified Social Worker Licenses","Altering the membership of the State Board of Social Work Examiners; and repealing obsolete references to certified social worker licenses.","Crossed Over","Referred Health and Government Operations","02/23/2024"
"MD","SB107","Commercial Law - Statutory Liens - Motor Vehicles Towed or Removed From Parking Lots","Establishing that a certain person has a lien on a motor vehicle towed or removed from a privately owned parking lot for charges incurred for any towing, recovery, storage, or notice provided under certain circumstances; establishing the circumstances in which the lien is extinguished; applying the Act retroactively; etc.","In Committee","Senate Judicial Proceedings Hearing (13:00:00 3/5/2024 )","03/05/2024"
"MD","SB108","Income Tax - Subtraction Modification - Police Auxiliary and Reserve Volunteers","Increasing, from $5,000 to $7,000, a subtraction modification under the Maryland income tax for an individual who is a qualifying police auxiliary or reserve volunteer; and applying the Act to all taxable years beginning after December 31, 2023.","Crossed Over","Referred Ways and Means","02/09/2024"
"MD","SB109","State Employees - Parental Bereavement Leave","Providing that certain State employees are entitled to use up to 10 days of parental bereavement leave with pay within 60 days after the death of the employee's child; providing that certain State employees are entitled to use up to 60 days of parental bereavement leave with pay within 60 days after the employee experiences a stillbirth or the death of the employee's infant; and prohibiting certain State entities from requiring State employees entitled to parental bereavement leave under the Act to use any other paid leave available to the employee.","Crossed Over","Referred Appropriations","02/16/2024"
"MD","SB110","School Construction - Local Cost-Share - Alterations","AN ACT concerning School Construction - Local Cost-Share - Alterations FOR the purpose of adding an adjustment to the local cost-share for school construction projects for certain counties under certain circumstances; and generally relating to the local cost-share for school construction projects. BY repealing and reenacting, with amendments, Article - Education Section 5-303(k) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) (As enacted by Chapter 32 of the Acts of the General Assembly of 2022)","In Committee","Senate Budget and Taxation Hearing (12:00:00 1/18/2024 )","01/18/2024"
"MD","SB112","County Boards of Education - Student Cellular Phone Use - Policy Required","AN ACT concerning County Boards of Education - Student Cellular Phone Use - Policy Required FOR the purpose of requiring county boards of education to develop and adopt a policy that prohibits students from using a cellular phone during instructional time except under certain circumstances; exempting a county board that has an existing policy on the student use of cellular phones during school hours from the requirement to develop and adopt a new policy; and generally relating to county boards of education and student cellular phone use policy. BY adding to Article - Education Section 4-142 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","Senate Education, Energy, and the Environment Hearing (15:00:00 1/17/2024 )","01/17/2024"
"MD","SB113","Criminal Law - Sexual Solicitation of a Minor Through Child Pornography - Prohibition","Prohibiting an individual from knowingly and with a certain intent soliciting a minor or law enforcement officer posing as a minor to engage in certain prohibited sexual acts with the minor by a certain means.","Crossed Over","Referred Judiciary","02/23/2024"
"MD","SB114","Workgroup to Study the Fiscal and Operational Viability of Public-Private Partnerships for Calvert County Public Schools","Establishing a Workgroup to Study the Fiscal and Operational Viability of Public-Private Partnerships for Calvert County Public Schools; and requiring the Workgroup to report its findings and recommendations to the Board of Calvert County Commissioners, the Calvert County Board of Education, the Interagency Commission on School Construction, and the Calvert County Delegation to the General Assembly on or before December 31, 2024.","Crossed Over","Referred Appropriations","02/09/2024"
"MD","SB116","Orphans' Court Judges - Restriction on Practicing Law","Altering a prohibition on judges of the orphans' court acting as attorneys to prohibit a judge of the orphans' court from acting as an attorney in matters related to the administration of an estate or a guardianship of a minor within the jurisdiction of the court in any county or Baltimore City, or the preparation of an estate plan or estate planning documents that might come within the jurisdiction of the court in any county or Baltimore City following the death of any individual.","Crossed Over","Referred Judiciary","02/09/2024"
"MD","SB117","Health - Newborn Screening Program - Krabbe Leukodystrophy","Requiring that the Maryland Department of Health's newborn screening system include screening for Krabbe leukodystrophy.","In Committee","Senate Finance Hearing (13:00:00 2/22/2024 )","02/22/2024"
"MD","SB118","Criminal Procedure - Expungement and Shielding - Probation Before Judgment for Driving While Impaired or Under the Influence","Authorizing a person to file a petition for expungement of certain records relating to a probation before judgment for driving while impaired or driving while under the influence; and authorizing a certain person to petition the court to shield certain records relating to a probation before judgment for driving while impaired or driving while under the influence.","In Committee","Senate Judicial Proceedings Hearing (14:00:00 1/25/2024 )","01/25/2024"
"MD","SB120","Juvenile Law - Custodial Interrogation - Parental Consultation","AN ACT concerning Juvenile Law - Custodial Interrogation - Parental Consultation FOR the purpose of authorizing a child to consult with the child’s parent, guardian, or custodian instead of an attorney before a law enforcement officer may conduct a custodial interrogation of the child; and generally relating to juvenile law and custodial interrogation. BY repealing and reenacting, with amendments, Article - Courts and Judicial Proceedings Section 3-8A-14(e) and 3-8A-14.2 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (13:00:00 2/13/2024 )","02/13/2024"
"MD","SB121","College of Southern Maryland - Funding and Responsibilities - La Plata Pool","AN ACT concerning College of Southern Maryland - Funding and Responsibilities - La Plata Pool FOR the purpose of requiring the Board of Trustees of the College of Southern Maryland to include funding in the annual budget of the College to reopen a certain pool by a certain date at the College’s La Plata Campus; and generally relating to the College of Southern Maryland. BY repealing and reenacting, without amendments, Article - Education Section 16-602(a), (b), (c), and (h) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY adding to Article - Education Section 16-611 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","Senate Budget and Taxation Hearing (13:00:00 1/17/2024 )","01/17/2024"
"MD","SB122","Education - Provision of Maryland Youth Crisis Hotline Telephone Number - Alteration","Altering the requirement that each county board of education provide certain students with the telephone number of the Maryland Youth Crisis Hotline by instead requiring that each county board of education provide certain students with the telephone number of the 988 Suicide and Crisis Lifeline.","Crossed Over","Referred Ways and Means","01/31/2024"
"MD","SB123","Criminal Procedure - Petition to Reduce Sentence","Authorizing an individual who is serving a term of confinement to petition a court to reduce the sentence if the individual has served at least 20 years of the individuals term of confinement and at least 3 years have passed since the court decided any petition previously filed by the individual for a reduced sentence; and establishing procedures for a proceeding under the Act.","In Committee","Senate Judicial Proceedings Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","SB124","Maryland Medical Assistance Program and Health Insurance - Annual Behavioral Health Wellness Visits - Coverage and Reimbursement","AN ACT concerning Maryland Medical Assistance Program and Health Insurance - Annual Behavioral Health Wellness Visits - Coverage and Reimbursement FOR the purpose of requiring the Maryland Medical Assistance Program and certain health insurers, nonprofit health service plans, and health maintenance organizations to provide coverage and certain reimbursement for annual behavioral health wellness visits; and generally relating to coverage and reimbursement for behavioral health care services. BY adding to Article - Health - General Section 15-102.3(m) and 15-103(a)(2)(xxiv) Annotated Code of Maryland (2023 Replacement Volume) BY repealing and reenacting, without amendments, Article - Health - General Section 15-103(a)(1) Annotated Code of Maryland (2023 Replacement Volume) BY repealing and reenacting, with amendments, Article - Health - General Section 15-103(a)(2)(xxii) and (xxiii) Annotated Code of Maryland (2023 Replacement Volume) BY adding to Article - Insurance Section 15-861 SENATE BILL 124 Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement)","In Committee","Senate Finance Hearing (13:00:00 2/13/2024 )","02/13/2024"
"MD","SB126","Transportation - WMATA Operating Assistance - Alteration (Maryland Metro Funding Act of 2024)","AN ACT concerning Transportation - WMATA Operating Assistance - Alteration (Maryland Metro Funding Act of 2024) FOR the purpose of repealing for a certain fiscal year a requirement that the Secretary of Transportation withhold a certain percentage of the State’s share of annual operating grants for the Washington Suburban Transit District if the State’s operating assistance provided in the approved Washington Metropolitan Area Transit Authority budget increases by more than a certain percentage over the total operating assistance provided in the prior fiscal year; and generally relating to operating grants for the Washington Suburban Transit District. BY repealing and reenacting, with amendments, Article - Transportation Section 10-205(b) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Budget and Taxation Hearing (13:00:00 1/24/2024 )","01/24/2024"
"MD","SB127","Maryland Center for School Safety - Firearm Detection Platforms - Evaluation (Maryland Firearm Detection Platform Act)","AN ACT concerning Maryland Center for School Safety - Firearm Detection Platforms - Evaluation (Maryland Firearm Detection Platform Act) FOR the purpose of requiring the Maryland Center for School Safety, in collaboration with certain public safety and educational institutions, to conduct an evaluation of firearm detection platforms; authorizing funds from the Safe Schools Fund to be used to assist local school systems in the procurement and maintenance of firearm detection platforms; and generally relating to the Maryland Center for School Safety and firearm detection platforms. BY repealing and reenacting, with amendments, Article - Education Section 7-1501 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) (As enacted by Chapter 59 of the Acts of the General Assembly of 2021) BY repealing and reenacting, without amendments, Article - Education Section 7-1512(a) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Education Section 7-1512(f)(9) and (10) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement) BY adding to SENATE BILL 127 Article - Education Section 7-1512(f)(11) Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","Senate Education, Energy, and the Environment Hearing (14:00:00 1/24/2024 )","01/24/2024"
"MD","SB128","Correctional Services - Geriatric and Medical Parole","AN ACT concerning Correctional Services - Geriatric and Medical Parole FOR the purpose of requiring the Maryland Parole Commission to consider the age of an incarcerated individual when determining whether to grant parole; altering how the Commission evaluates a request for medical parole, including providing for a meeting between the incarcerated individual and the Commission under certain circumstances; requiring the Commission to develop procedures for assessing parole requests by certain incarcerated individuals; and generally relating to geriatric and medical parole. BY repealing and reenacting, with amendments, Article - Correctional Services Section 7-305 Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement) (As enacted by Chapter 721 of the Acts of the General Assembly of 2023) BY repealing and reenacting, with amendments, Article - Correctional Services Section 7-309 Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement) BY adding to Article - Correctional Services Section 7-310 Annotated Code of Maryland (2017 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (14:00:00 2/7/2024 )","02/07/2024"
"MD","SB129","Election Law - Election Costs and Administration","Requiring that each member of the State Board of Elections receive a stipend as provided in the State budget; requiring the State Administrator of Elections or the procurement officer for the State Board to disclose requests for proposals, invitations for bids, and proposed procurement contracts to the State Board; establishing requirements for invoices for payment sent by the State Board to a local board of elections and payments by a local board to the State Board; etc.","In Committee","Senate Education, Energy, and the Environment Hearing (13:00:00 3/4/2024 )","03/04/2024"
"MD","SB131","Transportation - Consolidated Transportation Program - Categorization and Equitable Distribution of Projects","AN ACT concerning Transportation - Consolidated Transportation Program - Categorization and Equitable Distribution of Projects FOR the purpose of requiring the Department of Transportation to categorize the major transportation projects being considered for inclusion in the Consolidated Transportation Program into certain project categories; requiring the Department to rank each project under the appropriate category using the project-based scoring system; requiring the Department to increase the weighting metric by a certain percentage for a project located in a minority, rural, or underserved community to address critical equity challenges and ensure equitable distribution of projects throughout the State; and generally relating to the categorization and equitable distribution of projects in the Consolidated Transportation Program. BY repealing and reenacting, with amendments, Article - Transportation Section 2-103.7(a), (b), and (c) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Budget and Taxation Hearing (12:00:00 1/18/2024 )","01/18/2024"
"MD","SB132","Correctional Services – Medical Parole – Life Imprisonment","Repealing provisions relating to gubernatorial approval of a decision of the Maryland Parole Commission to grant medical parole to an inmate serving a sentence of life imprisonment.","Crossed Over","Referred Judiciary","02/28/2024"
"MD","SB133","State Employee Rights and Protections - Personnel Actions and Harassment - Investigation of Complaints","Increasing, from 30 days to 60 days, the time period during which an investigation must be conducted and a written decision must be issued regarding a complaint filed by an applicant or employee alleging discrimination or harassment by an employer; authorizing an extension of the time period by up to an additional 30 days under certain circumstances; and specifying when an appointing authority is deemed to have acquired certain knowledge to begin the time limit for imposition of disciplinary action.","Crossed Over","Referred Appropriations","02/16/2024"
"MD","SB134","Office of the Attorney General - Correctional Ombudsman Unit","AN ACT concerning Office of the Attorney General - Correctional Ombudsman Unit FOR the purpose of establishing the Correctional Ombudsman Unit in the Office of the Attorney General; requiring the Unit to conduct investigations, reviews, and assessments of administrative acts taken by the Department of Public Safety and Correctional Services or in relation to individuals confined by the Department; requiring the Unit to refer certain matters for criminal charges or disciplinary proceedings; providing for the confidentiality of certain communications with the Ombudsman; establishing the Correctional Ombudsman Advisory Board; prohibiting certain reprisals against employees of the Department who provide certain information to the Unit; requiring the Unit to conduct certain activities; and generally relating to the Correctional Ombudsman Unit. BY adding to Article - State Government Section 6-901 through 6-907 to be under the new subtitle “Subtitle 9. Correctional Ombudsman Unit” Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - State Personnel and Pensions Section 5-305 Annotated Code of Maryland (2015 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (14:00:00 2/7/2024 )","02/07/2024"
"MD","SB135","Workgroup to Study Funding for the Westernport Wastewater Treatment Facility - Establishment","Establishing the Workgroup to Study Funding for the Westernport Wastewater Treatment Facility; and requiring the Workgroup to report, on or before December 1, 2024, its findings and recommendations to the Governor and the General Assembly.","Crossed Over","Referred Environment and Transportation","02/28/2024"
"MD","SB136","Family Law - Marriage Ceremony - Designation of Deputy Clerk","Transferring, from the county administrative judge of the circuit court for the county to the clerk of the circuit court for the county, the authority to designate a deputy clerk to perform a marriage ceremony.","Crossed Over","Referred Judiciary","02/12/2024"
"MD","SB137","Registered Nurse Degree Apprenticeship Program Workgroup","AN ACT concerning Registered Nurse Degree Apprenticeship Program Workgroup FOR the purpose of establishing the Registered Nurse Degree Apprenticeship Program Workgroup to study the feasibility of developing and implementing a registered nurse degree apprenticeship program in the State; and generally relating to the Registered Nurse Degree Apprenticeship Program Workgroup.","In Committee","Senate Finance Hearing (13:00:00 2/13/2024 )","02/13/2024"
"MD","SB138","Baltimore City – Property Taxes – Authority to Set a Special Rate for Vacant and Abandoned Property","AN ACT concerning Baltimore City - Property Taxes - Authority to Set a Special Rate for Vacant and Abandoned Property FOR the purpose of authorizing the Mayor and City Council of Baltimore City to set a special property tax rate for certain vacant and abandoned property; and generally relating to a special property tax rate for vacant and abandoned property. BY repealing and reenacting, with amendments, Article - Tax - Property Section 6-302 Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement)","In Committee","Senate Budget and Taxation Hearing (13:00:00 1/24/2024 )","01/24/2024"
"MD","SB139","Driver's Licenses - Suspension for Child Support Arrearages - Exception","AN ACT concerning Driver’s Licenses - Suspension for Child Support Arrearages - Exception FOR the purpose of establishing a certain exception to the authority of the Child Support Administration to notify the Motor Vehicle Administration of an individual’s child support arrearages for the purpose of suspending the individual’s driver’s license or privilege to drive if the obligor’s income is at or below a certain level; authorizing the Child Support Administration to consider certain information in determining the income of an obligor under this Act; and generally relating to the suspension of a driver’s license or privilege to drive for child support arrearages. BY repealing and reenacting, with amendments, Article - Family Law Section 10-119 Annotated Code of Maryland (2019 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Transportation Section 16-203(a) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Transportation Section 16-203(b), (e), and (f) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (14:00:00 2/7/2024 )","02/07/2024"
"MD","SB140","General Assembly Vacancy - Political Party Central Committees - Procedures","AN ACT concerning General Assembly Vacancy - Political Party Central Committees - Procedures FOR the purpose of establishing requirements for the filling of a vacancy in the office of Senator or Delegate in the General Assembly by a central committee of a political party under the Maryland Constitution relating to applications, public notice, public meetings, and voting; and generally relating to the procedures of a central committee of a political party for filling a vacancy in the General Assembly. BY adding to Article - Election Law Section 4-206 Annotated Code of Maryland (2022 Replacement Volume and 2023 Supplement)","In Committee","Senate Education, Energy, and the Environment Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","SB141","Multifamily Dwellings - Smoking Policies","AN ACT concerning Multifamily Dwellings - Smoking Policies FOR the purpose of requiring the governing body of a common ownership community to develop a smoking policy if the property subject to the control of the governing body is a multifamily dwelling; and generally relating to multifamily dwellings in the State. BY adding to Article - Real Property Section 14-134 Annotated Code of Maryland (2023 Replacement Volume)","In Committee","Senate Judicial Proceedings Hearing (13:00:00 1/30/2024 )","01/30/2024"
"MD","SB142","Genetic Testing - Prohibitions on Disability, Life, and Long-Term Care Insurance (Genetic Testing Protection Act of 2024)","Prohibiting insurance carriers that offer life insurance, long-term care insurance, and disability insurance policies or contracts from taking certain action regarding coverage based on whether an applicant or a policy or contract holder has requested or undergone genetic testing or the results of the genetic testing.","In Committee","Senate Finance Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","SB143","Teachers' Retirement and Pension Systems - Reemployment","Clarifying a certain exemption from a certain reemployment offset for retirees of the Teachers' Retirement System and Teachers' Pension System who are reemployed by a local school system under certain conditions; and providing for the retroactive application of the Act to certain retirees who were reemployed by the Harford County Board of Education.","Crossed Over","Referred Appropriations","02/21/2024"
"MD","SB144","Medical Records - Fees - Attorneys Representing Patients","Adding an attorney representing a patient to the list of individuals to whom a health care provider is prohibited from charging a fee for providing copies of a medical record that will be used for the purpose of filing a claim regarding or appealing a denial of Social Security disability income or Social Security benefits.","Crossed Over","Referred Health and Government Operations","02/16/2024"
"MD","SB145","Criminal Procedure – Petition to Modify or Reduce Sentence (Maryland Second Look Act)","Authorizing an individual serving a term of confinement to petition a court to modify or reduce the sentence under certain circumstances; providing that a certain petitioner is entitled to assistance of counsel and, if indigent, representation by the Office of the Public Defender; and authorizing a certain person to apply to the Appellate Court of Maryland for leave to appeal a certain order in a certain manner and within a certain period of time after the court passes a certain order in accordance with the provisions of the Act.","In Committee","Withdrawn by Sponsor","02/05/2024"
"MD","SB146","Renewable Energy Portfolio Standard - Eligible Sources - Alterations (Reclaim Renewable Energy Act of 2024)","AN ACT concerning Renewable Energy Portfolio Standard - Eligible Sources - Alterations (Reclaim Renewable Energy Act of 2024) FOR the purpose of altering the definition of “Tier 1 renewable source” for purposes of excluding energy derived from waste and refuse from being eligible for inclusion in the renewable energy portfolio standard; and generally relating to the renewable energy portfolio standard. BY repealing and reenacting, without amendments, Article - Public Utilities Section 7-701(a) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Public Utilities Section 7-701(s) and 7-704(a) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Hearing 1/25 at 1:30 p.m.","01/25/2024"
"MD","SB147","Real Property - Access to Counsel in Evictions Program - Mandated Reports","Altering the information relating to the Access to Counsel in Eviction Program required to be reported by the Maryland Legal Services Corporation each year to include the number of cases in which an individual was provided legal representation, the amount paid to attorneys for each case managed, the geographic distribution of cases, the disposition of cases decided, the amount of certain funds allocated to each designated organization, and the number of individuals provided legal representation for multiple cases.","Crossed Over","Referred Judiciary","02/21/2024"
"MD","SB148","Comprehensive Flood Management Grant Program - Funding for Underserved and Overburdened Communities and Areas at Extreme Risk of Flooding","Requiring at least 40% of funding provided under the comprehensive flood management grant program to be used for projects located in or directly benefiting underserved or overburdened communities and areas in which over 90% of households are at extreme risk of flooding in the next 30 years; and authorizing the Governor to include in the annual State budget an appropriation of up to $20,000,000 for the comprehensive flood management grant program in fiscal year 2026 and each fiscal year thereafter.","Crossed Over","Referred Environment and Transportation Appropriations","03/01/2024"
"MD","SB149","Vehicle Towing or Removal – Insurer of Record – Electronic Notification","Authorizing a person who undertakes the towing or removal of a vehicle from a parking lot to notify the insurer of record electronically if that form of notice is agreed to by the tower and the insurer of record in a certain manner.","Crossed Over","Referred Environment and Transportation","02/21/2024"
"MD","SB150","State Government - Office of Legislative Audits - Performance Audits","Altering the frequency of certain performance audits of the Board of Liquor License Commissioners for Baltimore City to once every 6 years instead of 4 years, and the Board of License Commissioners for Prince George's County to at least once every 6 years instead of 3 years that are required to be conducted by the Office of Legislative Audits.","Crossed Over","Referred Economic Matters","02/12/2024"
"MD","SB152","Fishing Licenses and Stamps - Fee Exemptions - Residents Eligible for Assistance Programs","AN ACT concerning Fishing Licenses and Stamps - Fee Exemptions - Residents Eligible for Assistance Programs FOR the purpose of exempting residents who are eligible for certain assistance programs from the annual fee for angler’s licenses, trout stamps, and Chesapeake Bay and coastal sport fishing licenses; and generally relating to fees for fishing licenses and stamps. BY repealing and reenacting, with amendments, Article - Natural Resources Section 4-604(b) and (f), 4-614(c), and 4-745(a) Annotated Code of Maryland (2023 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Natural Resources Section 4-604(e)(1) and 4-614(a)(1) and (2) Annotated Code of Maryland (2023 Replacement Volume and 2023 Supplement)","In Committee","Senate Education, Energy, and the Environment Hearing (13:00:00 1/23/2024 )","01/23/2024"
"MD","SB153","Maryland Department of Transportation - Child Exploitation and Human Trafficking Awareness, Training, and Response","AN ACT concerning Maryland Department of Transportation - Child Exploitation and Human Trafficking Awareness, Training, and Response FOR the purpose of requiring the Maryland Department of Transportation to develop or identify and implement a certain training program for certain transportation-sector employees, taxicab drivers, and transportation network operators on the identification and reporting of suspected child exploitation and human trafficking victims; prohibiting the Public Service Commission from issuing or renewing a taxicab driver’s license or issuing a transportation network operator’s license unless the applicant has completed the training program; requiring a holder of a transportation network operator’s license on a certain date to complete the training program by a certain date, subject to license suspension; requiring certain transportation-sector employers to certify that certain employees have completed the training program; requiring certain transportation-sector employers to establish procedures for reporting suspected child exploitation and human trafficking to certain entities and to implement a certain child exploitation and human trafficking prevention policy; prohibiting certain employers, employees, taxicab drivers, or transportation network operators from being held civilly or criminally liable for reporting or responding to in good faith a suspected incident of child exploitation or human trafficking; requiring the Department to develop a sign displaying information and resources for child exploitation and human trafficking victims and requiring the sign to be displayed at certain locations; requiring the Department to require frequent public service announcements with safety information for child exploitation and human trafficking victims at certain locations; and generally relating to child exploitation and human trafficking awareness, training, and response. BY adding to Article - Public Utilities Section 10-208.1 SENATE BILL 153 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY repealing and reenacting, with amendments, Article - Public Utilities Section 10-404(a) Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY adding to Article - Transportation Section 2-113 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","SB154","State Procurement - Preferences - Historically Underutilized Business Zone Businesses","Requiring a unit to structure procurement procedures to meet federal procurement standards and to try to achieve or exceed a certain overall percentage goal of the unit's total dollar value of procurement contracts to be made with historically underutilized business zone businesses; establishing a certain percentage price preference; and establishing certain penalties.","In Committee","Senate Budget and Taxation Hearing (12:00:00 1/18/2024 )","01/18/2024"
"MD","SB155","Vehicle Laws - Noise Abatement Monitoring Systems - Authorization","AN ACT concerning Vehicle Laws - Noise Abatement Monitoring Systems - Authorization FOR the purpose of authorizing the use of noise abatement monitoring systems in Anne Arundel County, Montgomery County, and Prince George’s County to enforce certain motor vehicle noise requirements; and generally relating to the use of noise abatement monitoring systems. BY repealing and reenacting, with amendments, Article - Courts and Judicial Proceedings Section 4-401(13), 7-302(e)(1) through (3) and (4)(i), and 10-311 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY repealing and reenacting, without amendments, Article - Transportation Section 22-602 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement) BY adding to Article - Transportation Section 22-612 Annotated Code of Maryland (2020 Replacement Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (13:00:00 1/31/2024 )","01/31/2024"
"MD","SB156","Port of Baltimore - Renaming","Renaming the Port of Baltimore to be the Helen Delich Bentley Port of Baltimore.","In Committee","Senate Finance Hearing (13:00:00 2/28/2024 )","02/28/2024"
"MD","SB157","Domestic Animals - Penalties for Abandonment and Microchip Requirements for Dogs","AN ACT concerning Domestic Animals - Penalties for Abandonment and Microchip Requirements for Dogs FOR the purpose of increasing the penalties for abandoning a domestic animal in certain locations; establishing requirements for the microchipping of dogs on a transfer of ownership and for the management of information relating to dogs with implanted microchips; authorizing the governing body of a county to establish reasonable penalties for a violation of this Act; and generally relating to domestic animals. BY repealing and reenacting, with amendments, Article - Criminal Law Section 10-612 Annotated Code of Maryland (2021 Replacement Volume and 2023 Supplement) BY adding to Article - Local Government Section 13-108.1 Annotated Code of Maryland (2013 Volume and 2023 Supplement)","In Committee","Senate Judicial Proceedings Hearing (14:30:00 1/24/2024 )","01/24/2024"
"MD","SB158","Cannabis Licensing - Zoning Requirements - Alteration","AN ACT concerning Cannabis Licensing - Zoning Requirements - Alteration FOR the purpose of repealing a provision of law that exempts the use of a facility by a cannabis licensee from certain county or municipal zoning requirements if the facility is used by a grower, processor, or dispensary that held a certain Stage One Preapproval for a license before a certain date and was not operational before a certain date; and generally relating to cannabis licensing and zoning requirements. BY repealing and reenacting, with amendments, Article - Alcoholic Beverages and Cannabis Section 36-405 Annotated Code of Maryland (2016 Volume and 2023 Supplement)","In Committee","Senate Finance Hearing (13:00:00 2/15/2024 )","02/15/2024"
"MD","SB159","Courts - Military Records - Recordation and Inspection","Altering certain provisions of law relating to the recordation and inspection of certain military records kept by the clerk of a circuit court to authorize the clerk to keep an electronic record instead of a book to record and index the discharge papers of a person who has served in the uniformed services of the United States and require the clerk to deny inspection of the electronic record except under certain circumstances.","Crossed Over","Referred Judiciary","02/14/2024"
"MD","SB160","Labor and Employment - Payment of Minimum Wage - Tipped Employees","AN ACT concerning Labor and Employment - Payment of Minimum Wage - Tipped Employees FOR the purpose of specifying a certain tip credit amount that is in effect for certain time periods; prohibiting certain employers of tipped employees, beginning on a certain date, from including a tip credit amount as part of the employees’ wages; requiring the Commissioner of Labor and Industry to establish the High Road Kitchen Program as a recognition program for restaurants that do not include the tip credit as part of certain employees’ wages; and generally relating to the payment of the minimum wage. BY repealing and reenacting, with amendments, Article - Labor and Employment Section 3-419 Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement) BY adding to Article - Labor and Employment Section 3-718 Annotated Code of Maryland (2016 Replacement Volume and 2023 Supplement)","In Committee","Senate Finance Hearing (13:00:00 2/1/2024 )","02/01/2024"
"MD","SB161","Community Schools - Alterations","Authorizing each county board of education that has fewer than 40 community schools and that receives funding from the Concentration of Poverty School Grant Program for the personnel grant and the per pupil grant to expend no more than 10% of the funds distributed by the State under certain circumstances; providing that the per pupil grant portion of the Program prioritize funding for areas of greatest need according to the needs assessment plan; etc.","In Committee","Favorable with Amendments Report by Budget and Taxation","03/07/2024"
